seller_id,seller_zip_code_prefix_prep,seller_city_prep,seller_state_prep,seller_zip_code_prefix,seller_city,seller_state
c2bda99904207edd1834f03e0022b007,TH100101,Phra Nakhon,Bangkok,TH100101,Phra Nakhon,Bangkok
788e857f317e53de488d393e65a80f45,TH100101,Phra Nakhon,Bangkok,TH100101,Phra Nakhon,Bangkok
713e3a23ca5e47786eb6f0d99f94cfac,TH100102,Phra Nakhon,Bangkok,TH100102,Phra Nakhon,Bangkok
cc80e2f693fa6e2408f47ccf62413fc1,TH100102,Phra Nakhon,Bangkok,TH100102,Phra Nakhon,Bangkok
a425f92c199eb576938df686728acd20,TH100102,Phra Nakhon,Bangkok,TH100102,Phra Nakhon,Bangkok
9e94fa26a70ede4d26226e918e8706a2,TH100103,Phra Nakhon,Bangkok,TH100103,Phra Nakhon,Bangkok
88cf19ec1fc2c58f161aee259d57142c,TH100103,Phra Nakhon,Bangkok,TH100103,Phra Nakhon,Bangkok
f7315bb81aea4ddca2d39e249a801c98,TH100106,Phra Nakhon,Bangkok,TH100106,Phra Nakhon,Bangkok
75fdd0a732287f9497b179f6bd445d32,TH100107,Phra Nakhon,Bangkok,TH100107,Phra Nakhon,Bangkok
3504c0cb71d7fa48d967e0e4c94d59d9,TH100107,Phra Nakhon,Bangkok,TH100107,Phra Nakhon,Bangkok
e26901d5ab434ce92fd9b5c256820a4e,TH100107,Phra Nakhon,Bangkok,TH100107,Phra Nakhon,Bangkok
960945e1a9535cbc0cd6ddd35fbe7ae8,TH100108,Phra Nakhon,Bangkok,TH100108,Phra Nakhon,Bangkok
d50d79cb34e38265a8649c383dcffd48,TH100108,Phra Nakhon,Bangkok,TH100108,Phra Nakhon,Bangkok
b0b346d3a89f5eb4c2968af3f083cd43,TH100109,Phra Nakhon,Bangkok,TH100109,Phra Nakhon,Bangkok
7d7866a99a8656a42c7ff6352a433410,TH100111,Phra Nakhon,Bangkok,TH100111,Phra Nakhon,Bangkok
8f0fbe2cd4d472157dc1cdef6edecaa9,TH100112,Phra Nakhon,Bangkok,TH100112,Phra Nakhon,Bangkok
ae7ab174effdead6c241e547e4ca13f0,TH100201,Dusit,Bangkok,TH100201,Dusit,Bangkok
b026643914f651e8371425e5b8a1e780,TH100204,Dusit,Bangkok,TH100204,Dusit,Bangkok
c716e0b86ed568878475b60fbb6323ad,TH100204,Dusit,Bangkok,TH100204,Dusit,Bangkok
52f0fe436a347ddad7ed5f9aa4e27eaa,TH100206,Dusit,Bangkok,TH100206,Dusit,Bangkok
5721089ba9214e80074f27d5a03fc0eb,TH100301,Nong Chok,Bangkok,TH100301,Nong Chok,Bangkok
d63f306de130e0391d38a792541723b8,TH100304,Nong Chok,Bangkok,TH100304,Nong Chok,Bangkok
556a6409838156ea299c9d1f9e2dde43,TH100305,Nong Chok,Bangkok,TH100305,Nong Chok,Bangkok
9c57bc60cfad5ee62d35d3f1ce4593a1,TH100305,Nong Chok,Bangkok,TH100305,Nong Chok,Bangkok
84deb808079d1be601c209c1e771b1cc,TH100305,Nong Chok,Bangkok,TH100305,Nong Chok,Bangkok
6b15924333bd1a741595fe981ea04822,TH100306,Nong Chok,Bangkok,TH100306,Nong Chok,Bangkok
b839e41795b7f3ad94cc2014a52f6796,TH100306,Nong Chok,Bangkok,TH100306,Nong Chok,Bangkok
